Attrition,Department,Gender,Age,MonthlyIncome,JobRole,YearsAtCompany
No,Research & Development,Female,38,2406,Laboratory Technician,10
No,Research & Development,Female,50,18740,Research Director,27
No,Sales,Female,59,7637,Sales Executive,21
No,Research & Development,Female,36,10096,Healthcare Representative,17
No,Research & Development,Female,55,14756,Manager,5
No,Research & Development,Male,36,6499,Manufacturing Director,6
No,Research & Development,Male,45,9724,Research Scientist,1
No,Research & Development,Male,35,2194,Research Scientist,3
Yes,Research & Development,Male,36,3388,Research Scientist,1
No,Sales,Female,59,5473,Sales Executive,4
No,Research & Development,Male,29,2703,Research Scientist,5
No,Research & Development,Male,31,2501,Research Scientist,1
No,Research & Development,Male,32,6220,Research Scientist,10
No,Research & Development,Female,36,3038,Laboratory Technician,1
No,Research & Development,Female,31,4424,Manufacturing Director,11
No,Sales,Male,35,4312,Sales Executive,15
No,Research & Development,Male,45,13245,Research Director,0
No,Research & Development,Male,37,13664,Research Director,5
No,Human Resources,Male,46,5021,Human Resources,4
No,Research & Development,Male,30,5126,Laboratory Technician,10
No,Research & Development,Male,35,2859,Research Scientist,6
No,Sales,Male,55,10239,Sales Executive,1
No,Research & Development,Female,38,5329,Research Scientist,13
No,Research & Development,Male,34,4325,Manufacturing Director,5
No,Research & Development,Male,56,7260,Manufacturing Director,6
No,Sales,Male,23,2322,Sales Representative,0
No,Research & Development,Male,51,2075,Laboratory Technician,4
No,Research & Development,Male,30,4152,Healthcare Representative,11
Yes,Sales,Male,46,9619,Sales Executive,9
No,Research & Development,Male,40,13503,Healthcare Representative,22
No,Sales,Male,51,5441,Sales Executive,10
No,Sales,Female,30,5209,Sales Executive,11
No,Research & Development,Male,46,10673,Healthcare Representative,10
No,Sales,Male,32,5010,Sales Executive,11
No,Research & Development,Female,54,13549,Research Director,4
No,Sales,Female,24,4999,Sales Executive,3
No,Sales,Male,28,4221,Sales Executive,5
No,Sales,Male,58,13872,Sales Executive,37
No,Research & Development,Male,44,2042,Laboratory Technician,3
Yes,Human Resources,Male,37,2073,Human Resources,3
No,Research & Development,Male,32,2956,Research Scientist,1
Yes,Research & Development,Female,20,2926,Laboratory Technician,1
No,Research & Development,Female,34,4809,Research Scientist,16
No,Research & Development,Male,37,5163,Healthcare Representative,1
No,Human Resources,Female,59,18844,Manager,3
No,Research & Development,Female,50,18172,Research Director,8
Yes,Sales,Male,25,5744,Sales Executive,6
No,Research & Development,Male,25,2889,Research Scientist,2
No,Research & Development,Female,22,2871,Laboratory Technician,0
No,Research & Development,Female,51,7484,Healthcare Representative,13
Yes,Research & Development,Male,34,6074,Laboratory Technician,9
No,Human Resources,Female,54,17328,Manager,5
No,Research & Development,Male,24,2774,Laboratory Technician,5
No,Research & Development,Female,34,4505,Research Scientist,1
No,Sales,Male,37,7428,Sales Executive,5
No,Research & Development,Female,34,11631,Manager,11
No,Sales,Female,36,9738,Sales Executive,9
No,Research & Development,Female,36,2835,Laboratory Technician,1
No,Sales,Male,43,16959,Manager,25
No,Research & Development,Male,30,2613,Research Scientist,10
No,Sales,Male,33,6146,Sales Executive,7
Yes,Research & Development,Female,56,4963,Research Scientist,5
No,Research & Development,Male,51,19537,Research Director,20
Yes,Sales,Male,31,6172,Sales Executive,7
No,Research & Development,Female,26,2368,Research Scientist,5
Yes,Research & Development,Female,58,10312,Healthcare Representative,40
Yes,Sales,Male,19,1675,Sales Representative,0
No,Research & Development,Male,22,2523,Laboratory Technician,2
No,Research & Development,Female,49,6567,Manufacturing Director,15
No,Research & Development,Female,43,4739,Research Scientist,3
No,Sales,Female,50,9208,Sales Executive,2
Yes,Sales,Female,31,4559,Sales Executive,2
No,Sales,Male,41,8189,Sales Executive,9
No,Human Resources,Female,26,2942,Human Resources,8
No,Research & Development,Male,36,4941,Manufacturing Director,3
Yes,Research & Development,Male,51,10650,Manufacturing Director,4
No,Sales,Female,39,5902,Sales Executive,15
No,Sales,Male,25,8639,Sales Executive,2
No,Human Resources,Male,30,6347,Human Resources,11
Yes,Research & Development,Female,32,4200,Laboratory Technician,5
No,Research & Development,Male,45,3452,Research Scientist,6
No,Research & Development,Female,38,4317,Research Scientist,3
No,Research & Development,Female,30,2632,Research Scientist,5
No,Sales,Male,32,4668,Sales Executive,8
No,Research & Development,Female,30,3204,Research Scientist,3
No,Research & Development,Male,30,2720,Laboratory Technician,5
No,Research & Development,Male,41,17181,Manager,7
No,Research & Development,Male,41,2238,Laboratory Technician,5
No,Research & Development,Female,19,1483,Laboratory Technician,1
No,Research & Development,Female,40,5605,Research Scientist,20
No,Sales,Male,35,7295,Sales Executive,10
No,Sales,Male,53,2306,Sales Representative,7
No,Research & Development,Male,45,2348,Laboratory Technician,17
No,Sales,Female,32,8998,Sales Executive,9
No,Research & Development,Male,29,4319,Manufacturing Director,10
No,Research & Development,Male,51,6132,Manufacturing Director,1
No,Research & Development,Female,58,3346,Research Scientist,1
No,Sales,Male,40,10855,Sales Executive,12
No,Sales,Female,34,2231,Sales Representative,4
No,Research & Development,Male,22,2323,Research Scientist,2
No,Research & Development,Male,27,2024,Research Scientist,2
No,Research & Development,Male,28,2713,Research Scientist,5
No,Research & Development,Male,57,9439,Healthcare Representative,5
No,Research & Development,Male,27,2566,Research Scientist,1
No,Research & Development,Female,50,19926,Manager,5
No,Research & Development,Male,41,2451,Research Scientist,9
No,Sales,Female,30,9419,Sales Executive,10
No,Sales,Female,38,8686,Sales Executive,8
No,Research & Development,Male,32,3038,Research Scientist,5
No,Research & Development,Male,27,3058,Research Scientist,5
Yes,Sales,Female,19,2325,Sales Representative,0
No,Research & Development,Male,36,2088,Laboratory Technician,8
No,Research & Development,Male,30,3072,Laboratory Technician,12
No,Sales,Female,45,5006,Sales Executive,5
No,Research & Development,Female,56,4257,Research Scientist,2
No,Research & Development,Male,33,2500,Research Scientist,3
Yes,Research & Development,Male,19,1102,Laboratory Technician,1
No,Sales,Female,46,10453,Sales Executive,24
No,Research & Development,Female,38,2288,Laboratory Technician,2
No,Research & Development,Female,31,3929,Research Scientist,4
No,Research & Development,Female,34,2311,Research Scientist,3
Yes,Sales,Female,41,3140,Sales Representative,4
No,Research & Development,Male,50,3690,Laboratory Technician,3
No,Research & Development,Female,53,4450,Manufacturing Director,4
No,Research & Development,Female,33,2756,Research Scientist,8
No,Research & Development,Female,40,19033,Manager,20
No,Research & Development,Male,55,18722,Research Director,24
No,Research & Development,Male,34,9547,Manufacturing Director,10
No,Research & Development,Female,51,13734,Healthcare Representative,7
No,Research & Development,Male,52,19999,Manager,33
No,Research & Development,Female,27,2279,Research Scientist,7
Yes,Research & Development,Male,35,5916,Manufacturing Director,1
No,Research & Development,Male,43,2089,Research Scientist,5
No,Research & Development,Male,45,16792,Manager,20
No,Research & Development,Male,37,3564,Research Scientist,8
No,Research & Development,Female,35,4425,Laboratory Technician,6
No,Research & Development,Female,42,5265,Manufacturing Director,5
No,Research & Development,Male,38,6553,Manufacturing Director,1
No,Research & Development,Male,38,6261,Manufacturing Director,7
No,Research & Development,Male,27,4298,Manufacturing Director,2
No,Research & Development,Male,49,6804,Manufacturing Director,7
No,Research & Development,Male,34,3815,Research Scientist,5
No,Research & Development,Male,40,2741,Laboratory Technician,7
Yes,Research & Development,Male,38,6673,Healthcare Representative,1
Yes,Sales,Female,29,7639,Sales Executive,10
No,Research & Development,Male,22,2328,Research Scientist,4
No,Research & Development,Female,36,2153,Laboratory Technician,8
No,Research & Development,Male,40,4876,Healthcare Representative,3
No,Research & Development,Male,46,9396,Healthcare Representative,4
Yes,Sales,Male,32,10400,Sales Executive,14
No,Research & Development,Male,30,8474,Manufacturing Director,11
No,Sales,Female,27,9981,Sales Executive,7
No,Research & Development,Male,51,12490,Research Director,10
Yes,Research & Development,Female,30,2657,Research Scientist,5
No,Sales,Female,41,13591,Manager,1
Yes,Sales,Female,30,6696,Sales Executive,6
Yes,Research & Development,Male,29,2058,Research Scientist,6
No,Sales,Female,45,8865,Sales Executive,19
No,Sales,Female,54,5940,Sales Executive,6
No,Research & Development,Male,36,5914,Laboratory Technician,13
No,Research & Development,Female,33,2622,Research Scientist,3
No,Research & Development,Male,37,12185,Research Director,10
No,Sales,Male,38,10609,Sales Executive,16
No,Research & Development,Male,31,4345,Manufacturing Director,5
No,Research & Development,Male,59,2177,Research Scientist,1
No,Sales,Male,37,2793,Sales Representative,9
No,Sales,Female,29,7918,Sales Executive,11
No,Sales,Female,35,8789,Sales Executive,10
Yes,Research & Development,Male,29,2389,Research Scientist,4
No,Research & Development,Female,52,3212,Laboratory Technician,2
No,Research & Development,Male,42,19232,Manager,22
No,Human Resources,Male,59,2267,Human Resources,2
No,Sales,Female,50,19517,Manager,7
Yes,Research & Development,Male,33,2436,Laboratory Technician,5
No,Sales,Female,43,16064,Manager,17
Yes,Research & Development,Female,33,2707,Laboratory Technician,9
No,Sales,Male,52,19068,Manager,33
No,Sales,Female,32,3931,Sales Representative,4
Yes,Research & Development,Male,32,3730,Laboratory Technician,3
No,Research & Development,Female,39,2232,Laboratory Technician,3
No,Sales,Male,32,4465,Sales Executive,3
No,Research & Development,Male,41,3072,Research Scientist,1
No,Research & Development,Male,40,3319,Research Scientist,9
No,Research & Development,Male,45,19202,Manager,24
No,Research & Development,Male,31,13675,Research Director,2
No,Research & Development,Female,33,2911,Research Scientist,2
No,Research & Development,Male,34,5957,Manufacturing Director,11
No,Research & Development,Female,37,3920,Research Scientist,3
No,Research & Development,Male,45,6434,Manufacturing Director,3
Yes,Research & Development,Male,37,10048,Manufacturing Director,1
No,Research & Development,Female,39,10938,Healthcare Representative,19
No,Research & Development,Male,29,2340,Research Scientist,6
No,Research & Development,Female,42,6545,Research Scientist,3
No,Sales,Male,29,6931,Sales Executive,3
No,Research & Development,Female,25,4898,Manufacturing Director,4
No,Research & Development,Female,42,2593,Laboratory Technician,9
No,Research & Development,Male,40,19436,Research Director,21
No,Research & Development,Male,51,2723,Research Scientist,1
Yes,Research & Development,Male,31,3479,Laboratory Technician,5
No,Research & Development,Male,32,2794,Laboratory Technician,5
No,Sales,Male,38,5249,Sales Executive,8
No,Research & Development,Male,32,2176,Laboratory Technician,6
No,Sales,Female,46,16872,Manager,7
Yes,Research & Development,Male,28,3485,Laboratory Technician,0
No,Sales,Male,29,6644,Sales Executive,0
No,Research & Development,Male,31,5582,Healthcare Representative,9
No,Research & Development,Male,25,4000,Healthcare Representative,6
No,Research & Development,Male,45,13496,Healthcare Representative,20
No,Research & Development,Male,36,3210,Laboratory Technician,15
No,Research & Development,Male,55,19045,Manager,36
Yes,Research & Development,Male,47,11849,Manager,10
No,Research & Development,Male,28,2070,Research Scientist,5
No,Sales,Male,37,6502,Sales Executive,5
No,Research & Development,Male,21,3230,Research Scientist,3
No,Research & Development,Female,37,13603,Research Director,5
No,Research & Development,Female,35,11996,Manager,7
No,Sales,Female,38,5605,Sales Executive,8
No,Research & Development,Female,26,6397,Manufacturing Director,6
No,Research & Development,Male,50,19144,Research Director,10
No,Research & Development,Male,53,17584,Research Director,5
No,Sales,Male,42,4907,Sales Executive,20
No,Sales,Male,29,4554,Sales Executive,10
No,Research & Development,Male,55,5415,Laboratory Technician,10
No,Research & Development,Male,26,4741,Healthcare Representative,5
No,Research & Development,Female,37,2115,Research Scientist,17
Yes,Research & Development,Male,44,3161,Laboratory Technician,1
No,Research & Development,Male,38,5745,Healthcare Representative,2
Yes,Research & Development,Male,26,2373,Laboratory Technician,3
No,Research & Development,Female,28,3310,Research Scientist,5
No,Research & Development,Female,49,18665,Research Director,3
No,Research & Development,Male,36,4485,Research Scientist,8
No,Sales,Female,31,2789,Sales Representative,2
Yes,Sales,Male,26,5828,Sales Executive,8
No,Research & Development,Male,37,2326,Research Scientist,4
No,Sales,Female,42,13525,Sales Executive,20
Yes,Research & Development,Male,18,1420,Laboratory Technician,0
No,Sales,Male,35,8020,Sales Executive,11
No,Research & Development,Male,36,3688,Laboratory Technician,1
No,Research & Development,Male,51,5482,Manufacturing Director,4
No,Sales,Male,41,16015,Manager,22
No,Sales,Female,18,1200,Sales Representative,0
No,Research & Development,Male,28,5661,Healthcare Representative,8
No,Sales,Male,31,6929,Sales Executive,8
No,Research & Development,Male,39,9613,Healthcare Representative,18
No,Research & Development,Female,36,5674,Laboratory Technician,9
No,Sales,Male,32,5484,Sales Executive,13
No,Research & Development,Female,38,12061,Research Director,10
No,Research & Development,Male,58,5660,Healthcare Representative,5
No,Research & Development,Male,31,4821,Research Scientist,5
No,Human Resources,Male,31,6410,Human Resources,2
No,Research & Development,Male,45,5210,Laboratory Technician,24
No,Research & Development,Male,31,2695,Research Scientist,2
No,Research & Development,Female,33,11878,Manager,10
No,Research & Development,Male,39,17068,Manager,21
No,Research & Development,Female,43,2455,Laboratory Technician,8
No,Research & Development,Female,49,13964,Healthcare Representative,7
Yes,Research & Development,Male,52,4941,Research Scientist,8
No,Research & Development,Female,27,2478,Research Scientist,4
No,Sales,Female,32,5228,Sales Executive,13
No,Sales,Male,27,4478,Sales Executive,5
No,Sales,Male,31,7547,Sales Executive,7
No,Research & Development,Female,32,5055,Research Scientist,7
Yes,Research & Development,Male,28,3464,Research Scientist,3
No,Research & Development,Female,30,5775,Research Scientist,10
No,Research & Development,Female,31,8943,Manufacturing Director,10
No,Research & Development,Male,39,19272,Manager,21
Yes,Sales,Female,39,5238,Sales Executive,1
No,Sales,Male,33,4682,Sales Executive,7
No,Research & Development,Male,47,18300,Research Director,3
No,Research & Development,Female,43,5257,Laboratory Technician,9
No,Sales,Male,27,6349,Sales Executive,5
No,Research & Development,Female,54,4869,Research Scientist,4
No,Research & Development,Female,43,9985,Healthcare Representative,1
No,Research & Development,Male,45,3697,Research Scientist,10
No,Sales,Male,40,7457,Sales Executive,4
Yes,Research & Development,Male,29,2119,Laboratory Technician,7
No,Research & Development,Male,29,3983,Laboratory Technician,3
No,Sales,Female,30,6118,Sales Executive,10
No,Sales,Female,27,6214,Sales Executive,8
No,Research & Development,Male,37,6347,Manufacturing Director,6
No,Research & Development,Male,38,11510,Research Director,11
No,Research & Development,Female,31,7143,Manufacturing Director,11
No,Sales,Female,29,8268,Sales Executive,7
No,Research & Development,Male,35,8095,Manufacturing Director,16
No,Research & Development,Male,23,2904,Research Scientist,4
No,Research & Development,Male,41,6032,Manufacturing Director,5
No,Sales,Male,47,2976,Sales Representative,0
No,Research & Development,Female,42,15992,Research Director,1
No,Sales,Male,29,4649,Sales Executive,4
No,Human Resources,Male,42,2696,Human Resources,3
No,Research & Development,Female,32,2370,Laboratory Technician,8
No,Sales,Female,48,12504,Manager,0
No,Research & Development,Male,37,5974,Research Scientist,7
No,Sales,Female,30,4736,Sales Executive,2
No,Sales,Male,26,5296,Sales Executive,8
No,Research & Development,Male,42,6781,Healthcare Representative,1
Yes,Sales,Female,21,2174,Sales Representative,3
No,Sales,Female,36,6653,Sales Executive,1
No,Sales,Male,36,9699,Sales Executive,13
No,Research & Development,Male,57,6755,Healthcare Representative,3
No,Research & Development,Female,40,2213,Laboratory Technician,7
No,Sales,Male,21,2610,Sales Representative,3
Yes,Sales,Female,33,2851,Sales Representative,1
No,Research & Development,Female,37,3452,Laboratory Technician,5
No,Research & Development,Female,46,5258,Manufacturing Director,1
Yes,Sales,Male,41,9355,Sales Executive,8
No,Research & Development,Male,50,10496,Healthcare Representative,4
Yes,Sales,Male,40,6380,Sales Executive,6
No,Research & Development,Male,31,2657,Research Scientist,2
Yes,Sales,Female,21,2716,Sales Representative,1
No,Research & Development,Male,29,2201,Research Scientist,3
No,Research & Development,Male,35,6540,Healthcare Representative,1
No,Research & Development,Male,27,3816,Laboratory Technician,5
No,Sales,Male,28,5253,Sales Executive,7
No,Research & Development,Male,49,10965,Healthcare Representative,5
No,Sales,Female,51,4936,Sales Executive,7
No,Research & Development,Female,36,2543,Research Scientist,2
Yes,Sales,Male,34,5304,Sales Executive,5
No,Research & Development,Female,55,16659,Manager,5
No,Sales,Female,24,4260,Sales Executive,5
No,Sales,Male,30,2476,Sales Representative,1
Yes,Research & Development,Male,26,3102,Research Scientist,6
No,Research & Development,Female,22,2244,Research Scientist,2
No,Sales,Male,36,7596,Sales Executive,10
Yes,Research & Development,Male,30,2285,Research Scientist,1
No,Research & Development,Female,37,3034,Laboratory Technician,18
No,Sales,Female,40,5715,Sales Executive,5
No,Research & Development,Female,42,2576,Laboratory Technician,5
No,Research & Development,Male,37,4197,Manufacturing Director,1
No,Research & Development,Male,43,14336,Research Director,25
No,Research & Development,Female,40,3448,Laboratory Technician,1
No,Research & Development,Male,54,19406,Research Director,4
No,Sales,Female,34,6538,Sales Executive,3
No,Research & Development,Female,31,4306,Manufacturing Director,13
No,Research & Development,Male,43,2258,Laboratory Technician,3
No,Research & Development,Female,43,4522,Healthcare Representative,5
No,Sales,Female,25,4487,Sales Executive,5
No,Research & Development,Female,37,4449,Research Scientist,13
No,Research & Development,Male,31,2218,Laboratory Technician,4
No,Research & Development,Male,39,19197,Manager,21
No,Sales,Female,56,13212,Sales Executive,7
No,Sales,Female,30,6577,Sales Executive,5
No,Sales,Male,41,8392,Sales Executive,10
No,Research & Development,Male,28,4558,Laboratory Technician,10
Yes,Research & Development,Male,25,4031,Laboratory Technician,2
No,Research & Development,Male,52,7969,Manufacturing Director,5
No,Research & Development,Male,45,2654,Research Scientist,2
No,Research & Development,Female,52,16555,Manager,5
No,Research & Development,Female,42,4556,Research Scientist,5
No,Research & Development,Female,30,6091,Manufacturing Director,5
No,Research & Development,Female,60,19566,Manager,29
No,Research & Development,Female,46,4810,Manufacturing Director,10
No,Research & Development,Female,42,4523,Healthcare Representative,6
Yes,Sales,Female,24,3202,Sales Representative,5
Yes,Sales,Female,34,2351,Sales Representative,2
No,Research & Development,Male,38,1702,Laboratory Technician,1
No,Sales,Female,40,18041,Manager,20
No,Research & Development,Female,26,2886,Research Scientist,3
No,Research & Development,Male,30,2097,Laboratory Technician,5
No,Research & Development,Male,29,11935,Research Director,10
Yes,Research & Development,Female,29,2546,Research Scientist,2
Yes,Human Resources,Male,19,2564,Human Resources,1
No,Sales,Female,30,8412,Sales Executive,9
No,Sales,Male,57,14118,Manager,1
No,Research & Development,Male,50,17046,Manager,27
No,Research & Development,Female,30,2564,Laboratory Technician,11
No,Sales,Female,60,10266,Sales Executive,18
No,Research & Development,Female,47,5070,Manufacturing Director,5
No,Research & Development,Male,46,17861,Research Director,3
No,Research & Development,Male,35,4230,Laboratory Technician,5
No,Research & Development,Female,54,3780,Laboratory Technician,1
No,Research & Development,Male,34,2768,Research Scientist,7
No,Sales,Female,46,9071,Sales Executive,3
No,Research & Development,Male,31,10648,Manufacturing Director,13
Yes,Research & Development,Male,33,13610,Manager,7
Yes,Research & Development,Male,33,3408,Laboratory Technician,4
No,Sales,Male,30,2983,Sales Representative,3
No,Research & Development,Male,35,7632,Healthcare Representative,8
Yes,Research & Development,Male,31,9824,Healthcare Representative,1
Yes,Human Resources,Female,34,9950,Human Resources,3
No,Research & Development,Male,42,2093,Laboratory Technician,2
No,Sales,Male,36,9980,Sales Executive,10
Yes,Research & Development,Male,22,3894,Laboratory Technician,2
No,Sales,Female,48,4051,Sales Executive,9
No,Sales,Female,55,16835,Manager,10
No,Sales,Male,41,6230,Sales Executive,14
No,Sales,Male,35,4717,Sales Executive,11
No,Research & Development,Female,40,13237,Manufacturing Director,20
No,Research & Development,Female,39,3755,Laboratory Technician,8
No,Sales,Male,31,6582,Sales Executive,6
No,Research & Development,Male,42,7406,Manufacturing Director,10
No,Sales,Male,45,4805,Sales Executive,8
Yes,Human Resources,Female,26,2741,Human Resources,7
No,Research & Development,Male,29,4262,Manufacturing Director,3
No,Research & Development,Female,33,16184,Research Director,6
No,Sales,Male,31,11557,Manager,5
Yes,Sales,Male,18,1878,Sales Representative,0
No,Sales,Male,40,10932,Sales Executive,1
No,Research & Development,Female,41,6811,Healthcare Representative,8
No,Sales,Male,26,4306,Sales Executive,0
No,Sales,Female,35,4859,Sales Executive,5
No,Sales,Male,34,5337,Sales Executive,10
Yes,Research & Development,Male,26,2340,Laboratory Technician,1
No,Research & Development,Female,37,7491,Manufacturing Director,6
No,Research & Development,Female,46,10527,Healthcare Representative,2
No,Sales,Female,41,16595,Manager,18
No,Sales,Male,37,8834,Sales Executive,9
No,Research & Development,Male,52,5577,Research Scientist,10
Yes,Sales,Male,32,4707,Sales Executive,4
No,Sales,Male,24,2400,Sales Representative,2
No,Research & Development,Female,38,9824,Healthcare Representative,1
No,Research & Development,Female,37,6447,Manufacturing Director,6
No,Research & Development,Male,49,19502,Research Director,31
No,Research & Development,Male,24,2725,Research Scientist,6
No,Sales,Male,26,6272,Sales Executive,5
No,Research & Development,Male,24,2127,Laboratory Technician,1
No,Human Resources,Male,50,18200,Manager,32
No,Sales,Male,25,2096,Sales Representative,7
Yes,Research & Development,Female,24,2886,Laboratory Technician,6
Yes,Sales,Male,30,2033,Sales Representative,1
No,Research & Development,Male,34,3622,Research Scientist,6
Yes,Sales,Male,31,4233,Sales Executive,3
No,Research & Development,Male,35,3681,Laboratory Technician,3
No,Sales,Male,31,5460,Sales Executive,7
No,Research & Development,Female,27,2187,Research Scientist,5
No,Sales,Male,37,9602,Sales Executive,3
No,Research & Development,Female,20,2836,Research Scientist,1
No,Research & Development,Female,42,4089,Healthcare Representative,10
No,Research & Development,Male,43,16627,Research Director,1
No,Research & Development,Female,38,2619,Research Scientist,0
No,Research & Development,Male,43,5679,Laboratory Technician,8
No,Research & Development,Female,48,15402,Manager,3
No,Human Resources,Female,44,5985,Human Resources,2
No,Sales,Female,34,2579,Sales Representative,8
Yes,Sales,Male,27,3041,Sales Representative,4
No,Sales,Male,21,3447,Sales Representative,3
No,Research & Development,Male,44,19513,Manager,2
No,Research & Development,Male,22,2773,Research Scientist,2
No,Sales,Male,33,7104,Sales Executive,5
No,Research & Development,Female,32,6322,Research Scientist,6
No,Research & Development,Female,30,2083,Research Scientist,1
No,Sales,Female,53,8381,Sales Executive,14
No,Research & Development,Male,34,2691,Research Scientist,10
Yes,Sales,Female,45,4286,Sales Executive,1
No,Research & Development,Female,26,2659,Laboratory Technician,3
No,Research & Development,Male,37,9434,Manufacturing Director,10
No,Sales,Female,29,5561,Sales Executive,6
No,Research & Development,Male,35,6646,Research Scientist,17
No,Research & Development,Male,33,7725,Healthcare Representative,13
No,Human Resources,Male,54,10725,Human Resources,9
No,Research & Development,Male,36,8847,Manufacturing Director,3
No,Research & Development,Male,27,2045,Research Scientist,4
Yes,Research & Development,Male,20,1009,Research Scientist,1
Yes,Research & Development,Male,33,3348,Research Scientist,10
No,Research & Development,Male,35,1281,Laboratory Technician,1
No,Research & Development,Male,23,2819,Research Scientist,3
No,Sales,Male,25,4851,Sales Executive,3
No,Sales,Female,38,4028,Sales Executive,7
No,Research & Development,Male,29,2720,Research Scientist,10
No,Sales,Male,48,8120,Sales Executive,2
No,Sales,Female,27,4647,Sales Executive,6
No,Research & Development,Male,37,4680,Research Scientist,1
No,Research & Development,Male,50,3221,Laboratory Technician,20
No,Research & Development,Female,34,8621,Healthcare Representative,8
Yes,Sales,Female,24,4577,Sales Executive,2
No,Research & Development,Female,39,4553,Healthcare Representative,20
No,Sales,Male,32,5396,Sales Executive,10
Yes,Sales,Male,50,6796,Sales Executive,4
No,Research & Development,Female,38,7625,Healthcare Representative,9
No,Research & Development,Female,27,7412,Manufacturing Director,9
No,Research & Development,Female,32,11159,Research Director,7
No,Sales,Male,47,4960,Sales Executive,7
No,Sales,Male,40,10475,Sales Executive,18
No,Research & Development,Male,53,14814,Research Director,5
No,Human Resources,Male,41,19141,Manager,21
No,Sales,Male,60,5405,Sales Executive,2
No,Research & Development,Male,27,8793,Manufacturing Director,9
No,Human Resources,Male,41,19189,Manager,22
No,Sales,Male,50,3875,Sales Representative,2
Yes,Research & Development,Female,28,2216,Research Scientist,7
No,Research & Development,Female,36,11713,Research Director,8
No,Research & Development,Female,38,7861,Manufacturing Director,1
No,Research & Development,Male,44,3708,Laboratory Technician,5
No,Sales,Female,47,13770,Sales Executive,22
No,Sales,Male,30,5304,Sales Executive,8
No,Sales,Male,29,2642,Sales Representative,1
Yes,Research & Development,Male,42,2759,Research Scientist,2
No,Sales,Male,43,6804,Sales Executive,2
No,Research & Development,Female,34,6142,Healthcare Representative,5
No,Research & Development,Male,23,2500,Laboratory Technician,4
No,Human Resources,Female,39,6389,Human Resources,8
No,Research & Development,Male,56,11103,Healthcare Representative,10
No,Research & Development,Female,40,2342,Research Scientist,4
No,Research & Development,Female,27,6811,Healthcare Representative,7
No,Sales,Male,29,2297,Sales Representative,2
